start_time,away_team,away_team_score,home_team,home_team_score
2020-12-31 01:30:00+00:00,LOS ANGELES LAKERS,121,SAN ANTONIO SPURS,107
2020-12-31 03:00:00+00:00,PORTLAND TRAIL BLAZERS,105,LOS ANGELES CLIPPERS,128
2020-12-31 20:00:00+00:00,CLEVELAND CAVALIERS,99,INDIANA PACERS,119
2020-12-31 22:00:00+00:00,CHICAGO BULLS,133,WASHINGTON WIZARDS,130
2020-12-31 23:30:00+00:00,PHILADELPHIA 76ERS,116,ORLANDO MAGIC,92
2021-01-01 00:00:00+00:00,SACRAMENTO KINGS,119,HOUSTON ROCKETS,122
2021-01-01 00:30:00+00:00,NEW YORK KNICKS,83,TORONTO RAPTORS,100
2021-01-01 01:00:00+00:00,NEW ORLEANS PELICANS,113,OKLAHOMA CITY THUNDER,80
2021-01-01 02:00:00+00:00,PHOENIX SUNS,106,UTAH JAZZ,95
2021-01-02 00:00:00+00:00,MEMPHIS GRIZZLIES,108,CHARLOTTE HORNETS,93
2021-01-02 00:00:00+00:00,MIAMI HEAT,83,DALLAS MAVERICKS,93
2021-01-02 00:00:00+00:00,BOSTON CELTICS,93,DETROIT PISTONS,96
2021-01-02 00:30:00+00:00,ATLANTA HAWKS,114,BROOKLYN NETS,96
2021-01-02 01:00:00+00:00,CHICAGO BULLS,96,MILWAUKEE BUCKS,126
2021-01-02 01:00:00+00:00,WASHINGTON WIZARDS,130,MINNESOTA TIMBERWOLVES,109
2021-01-02 01:00:00+00:00,LOS ANGELES LAKERS,109,SAN ANTONIO SPURS,103
2021-01-02 02:00:00+00:00,PHOENIX SUNS,106,DENVER NUGGETS,103
2021-01-02 02:00:00+00:00,LOS ANGELES CLIPPERS,100,UTAH JAZZ,106
2021-01-02 03:30:00+00:00,PORTLAND TRAIL BLAZERS,123,GOLDEN STATE WARRIORS,98
2021-01-02 22:00:00+00:00,SACRAMENTO KINGS,,HOUSTON ROCKETS,
2021-01-03 00:00:00+00:00,NEW YORK KNICKS,,INDIANA PACERS,
2021-01-03 00:00:00+00:00,OKLAHOMA CITY THUNDER,,ORLANDO MAGIC,
2021-01-03 00:00:00+00:00,CHARLOTTE HORNETS,,PHILADELPHIA 76ERS,
2021-01-03 00:30:00+00:00,CLEVELAND CAVALIERS,,ATLANTA HAWKS,
2021-01-03 00:30:00+00:00,TORONTO RAPTORS,,NEW ORLEANS PELICANS,
2021-01-03 20:00:00+00:00,BOSTON CELTICS,,DETROIT PISTONS,
2021-01-03 23:00:00+00:00,WASHINGTON WIZARDS,,BROOKLYN NETS,
2021-01-03 23:00:00+00:00,LOS ANGELES LAKERS,,MEMPHIS GRIZZLIES,
2021-01-04 00:00:00+00:00,DENVER NUGGETS,,MINNESOTA TIMBERWOLVES,
2021-01-04 00:00:00+00:00,UTAH JAZZ,,SAN ANTONIO SPURS,
2021-01-04 01:00:00+00:00,DALLAS MAVERICKS,,CHICAGO BULLS,
2021-01-04 01:00:00+00:00,LOS ANGELES CLIPPERS,,PHOENIX SUNS,
2021-01-04 01:30:00+00:00,PORTLAND TRAIL BLAZERS,,GOLDEN STATE WARRIORS,
2021-01-05 00:00:00+00:00,CLEVELAND CAVALIERS,,ORLANDO MAGIC,
2021-01-05 00:00:00+00:00,CHARLOTTE HORNETS,,PHILADELPHIA 76ERS,
2021-01-05 00:30:00+00:00,NEW YORK KNICKS,,ATLANTA HAWKS,
2021-01-05 00:30:00+00:00,OKLAHOMA CITY THUNDER,,MIAMI HEAT,
2021-01-05 00:30:00+00:00,BOSTON CELTICS,,TORONTO RAPTORS,
2021-01-05 01:00:00+00:00,DALLAS MAVERICKS,,HOUSTON ROCKETS,
2021-01-05 01:00:00+00:00,DETROIT PISTONS,,MILWAUKEE BUCKS,
2021-01-05 01:00:00+00:00,INDIANA PACERS,,NEW ORLEANS PELICANS,
2021-01-05 03:00:00+00:00,SACRAMENTO KINGS,,GOLDEN STATE WARRIORS,
2021-01-06 00:30:00+00:00,UTAH JAZZ,,BROOKLYN NETS,
2021-01-06 01:00:00+00:00,LOS ANGELES LAKERS,,MEMPHIS GRIZZLIES,
2021-01-06 02:00:00+00:00,MINNESOTA TIMBERWOLVES,,DENVER NUGGETS,
2021-01-06 03:00:00+00:00,SAN ANTONIO SPURS,,LOS ANGELES CLIPPERS,
2021-01-06 03:30:00+00:00,CHICAGO BULLS,,PORTLAND TRAIL BLAZERS,
2021-01-07 00:00:00+00:00,HOUSTON ROCKETS,,INDIANA PACERS,
2021-01-07 00:00:00+00:00,CLEVELAND CAVALIERS,,ORLANDO MAGIC,
2021-01-07 00:00:00+00:00,WASHINGTON WIZARDS,,PHILADELPHIA 76ERS,
2021-01-07 00:30:00+00:00,CHARLOTTE HORNETS,,ATLANTA HAWKS,
2021-01-07 00:30:00+00:00,BOSTON CELTICS,,MIAMI HEAT,
2021-01-07 00:30:00+00:00,UTAH JAZZ,,NEW YORK KNICKS,
2021-01-07 01:00:00+00:00,DETROIT PISTONS,,MILWAUKEE BUCKS,
2021-01-07 01:00:00+00:00,OKLAHOMA CITY THUNDER,,NEW ORLEANS PELICANS,
2021-01-07 02:00:00+00:00,TORONTO RAPTORS,,PHOENIX SUNS,
2021-01-07 03:00:00+00:00,LOS ANGELES CLIPPERS,,GOLDEN STATE WARRIORS,
2021-01-07 03:00:00+00:00,CHICAGO BULLS,,SACRAMENTO KINGS,
2021-01-08 00:30:00+00:00,PHILADELPHIA 76ERS,,BROOKLYN NETS,
2021-01-08 01:00:00+00:00,CLEVELAND CAVALIERS,,MEMPHIS GRIZZLIES,
2021-01-08 03:00:00+00:00,DALLAS MAVERICKS,,DENVER NUGGETS,
2021-01-08 03:00:00+00:00,SAN ANTONIO SPURS,,LOS ANGELES LAKERS,
2021-01-08 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,PORTLAND TRAIL BLAZERS,
2021-01-09 00:00:00+00:00,PHOENIX SUNS,,DETROIT PISTONS,
2021-01-09 00:30:00+00:00,WASHINGTON WIZARDS,,BOSTON CELTICS,
2021-01-09 00:30:00+00:00,CHARLOTTE HORNETS,,NEW ORLEANS PELICANS,
2021-01-09 00:30:00+00:00,OKLAHOMA CITY THUNDER,,NEW YORK KNICKS,
2021-01-09 01:00:00+00:00,ORLANDO MAGIC,,HOUSTON ROCKETS,
2021-01-09 01:00:00+00:00,BROOKLYN NETS,,MEMPHIS GRIZZLIES,
2021-01-09 01:00:00+00:00,UTAH JAZZ,,MILWAUKEE BUCKS,
2021-01-09 03:00:00+00:00,LOS ANGELES CLIPPERS,,GOLDEN STATE WARRIORS,
2021-01-09 03:00:00+00:00,CHICAGO BULLS,,LOS ANGELES LAKERS,
2021-01-09 03:00:00+00:00,TORONTO RAPTORS,,SACRAMENTO KINGS,
2021-01-09 20:00:00+00:00,DENVER NUGGETS,,PHILADELPHIA 76ERS,
2021-01-10 00:00:00+00:00,ATLANTA HAWKS,,CHARLOTTE HORNETS,
2021-01-10 00:00:00+00:00,PHOENIX SUNS,,INDIANA PACERS,
2021-01-10 00:00:00+00:00,MIAMI HEAT,,WASHINGTON WIZARDS,
2021-01-10 01:00:00+00:00,CLEVELAND CAVALIERS,,MILWAUKEE BUCKS,
2021-01-10 01:00:00+00:00,SAN ANTONIO SPURS,,MINNESOTA TIMBERWOLVES,
2021-01-10 01:30:00+00:00,ORLANDO MAGIC,,DALLAS MAVERICKS,
2021-01-10 03:00:00+00:00,PORTLAND TRAIL BLAZERS,,SACRAMENTO KINGS,
2021-01-10 20:00:00+00:00,UTAH JAZZ,,DETROIT PISTONS,
2021-01-10 21:00:00+00:00,CHICAGO BULLS,,LOS ANGELES CLIPPERS,
2021-01-10 23:00:00+00:00,OKLAHOMA CITY THUNDER,,BROOKLYN NETS,
2021-01-10 23:00:00+00:00,DENVER NUGGETS,,NEW YORK KNICKS,
