start_time,away_team,home_team
2021-02-03 00:00:00+00:00,MEMPHIS GRIZZLIES,INDIANA PACERS
2021-02-03 00:00:00+00:00,TORONTO RAPTORS,ORLANDO MAGIC
2021-02-03 00:30:00+00:00,LOS ANGELES CLIPPERS,BROOKLYN NETS
2021-02-03 02:00:00+00:00,DETROIT PISTONS,UTAH JAZZ
2021-02-03 03:00:00+00:00,BOSTON CELTICS,GOLDEN STATE WARRIORS
2021-02-04 00:00:00+00:00,PHILADELPHIA 76ERS,CHARLOTTE HORNETS
2021-02-04 00:00:00+00:00,LOS ANGELES CLIPPERS,CLEVELAND CAVALIERS
2021-02-04 00:00:00+00:00,INDIANA PACERS,MILWAUKEE BUCKS
2021-02-04 00:30:00+00:00,DALLAS MAVERICKS,ATLANTA HAWKS
2021-02-04 00:30:00+00:00,WASHINGTON WIZARDS,MIAMI HEAT
2021-02-04 01:00:00+00:00,NEW YORK KNICKS,CHICAGO BULLS
2021-02-04 01:00:00+00:00,HOUSTON ROCKETS,OKLAHOMA CITY THUNDER
2021-02-04 01:30:00+00:00,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS
2021-02-04 02:30:00+00:00,PHOENIX SUNS,NEW ORLEANS PELICANS
2021-02-04 03:00:00+00:00,BOSTON CELTICS,SACRAMENTO KINGS
2021-02-05 00:00:00+00:00,PORTLAND TRAIL BLAZERS,PHILADELPHIA 76ERS
2021-02-05 00:30:00+00:00,UTAH JAZZ,ATLANTA HAWKS
2021-02-05 00:30:00+00:00,GOLDEN STATE WARRIORS,DALLAS MAVERICKS
2021-02-05 01:00:00+00:00,HOUSTON ROCKETS,MEMPHIS GRIZZLIES
2021-02-05 03:00:00+00:00,DENVER NUGGETS,LOS ANGELES LAKERS
2021-02-06 00:00:00+00:00,UTAH JAZZ,CHARLOTTE HORNETS
2021-02-06 00:00:00+00:00,NEW ORLEANS PELICANS,INDIANA PACERS
2021-02-06 00:00:00+00:00,CHICAGO BULLS,ORLANDO MAGIC
2021-02-06 00:30:00+00:00,TORONTO RAPTORS,BROOKLYN NETS
2021-02-06 00:30:00+00:00,MILWAUKEE BUCKS,CLEVELAND CAVALIERS
2021-02-06 01:00:00+00:00,WASHINGTON WIZARDS,MIAMI HEAT
2021-02-06 01:00:00+00:00,MINNESOTA TIMBERWOLVES,OKLAHOMA CITY THUNDER
2021-02-06 02:00:00+00:00,DETROIT PISTONS,PHOENIX SUNS
2021-02-06 03:00:00+00:00,BOSTON CELTICS,LOS ANGELES CLIPPERS
2021-02-06 18:00:00+00:00,PORTLAND TRAIL BLAZERS,NEW YORK KNICKS
2021-02-06 22:00:00+00:00,DENVER NUGGETS,SACRAMENTO KINGS
2021-02-07 00:00:00+00:00,MEMPHIS GRIZZLIES,NEW ORLEANS PELICANS
2021-02-07 00:00:00+00:00,CHICAGO BULLS,ORLANDO MAGIC
2021-02-07 00:00:00+00:00,BROOKLYN NETS,PHILADELPHIA 76ERS
2021-02-07 00:30:00+00:00,TORONTO RAPTORS,ATLANTA HAWKS
2021-02-07 01:00:00+00:00,MILWAUKEE BUCKS,CLEVELAND CAVALIERS
2021-02-07 01:00:00+00:00,SAN ANTONIO SPURS,HOUSTON ROCKETS
2021-02-07 01:00:00+00:00,MINNESOTA TIMBERWOLVES,OKLAHOMA CITY THUNDER
2021-02-07 01:30:00+00:00,GOLDEN STATE WARRIORS,DALLAS MAVERICKS
2021-02-07 03:00:00+00:00,DETROIT PISTONS,LOS ANGELES LAKERS
2021-02-07 18:00:00+00:00,PORTLAND TRAIL BLAZERS,CHARLOTTE HORNETS
2021-02-07 18:00:00+00:00,UTAH JAZZ,INDIANA PACERS
2021-02-07 18:00:00+00:00,MIAMI HEAT,NEW YORK KNICKS
2021-02-07 19:00:00+00:00,BOSTON CELTICS,PHOENIX SUNS
2021-02-07 20:00:00+00:00,SACRAMENTO KINGS,LOS ANGELES CLIPPERS
2021-02-09 00:00:00+00:00,HOUSTON ROCKETS,CHARLOTTE HORNETS
2021-02-09 01:00:00+00:00,WASHINGTON WIZARDS,CHICAGO BULLS
2021-02-09 01:00:00+00:00,TORONTO RAPTORS,MEMPHIS GRIZZLIES
2021-02-09 01:30:00+00:00,MINNESOTA TIMBERWOLVES,DALLAS MAVERICKS
2021-02-09 01:30:00+00:00,GOLDEN STATE WARRIORS,SAN ANTONIO SPURS
2021-02-09 02:00:00+00:00,CLEVELAND CAVALIERS,PHOENIX SUNS
2021-02-09 02:30:00+00:00,MILWAUKEE BUCKS,DENVER NUGGETS
2021-02-09 03:00:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES LAKERS
2021-02-10 00:00:00+00:00,BROOKLYN NETS,DETROIT PISTONS
2021-02-10 00:30:00+00:00,NEW YORK KNICKS,MIAMI HEAT
2021-02-10 00:30:00+00:00,HOUSTON ROCKETS,NEW ORLEANS PELICANS
2021-02-10 01:30:00+00:00,GOLDEN STATE WARRIORS,SAN ANTONIO SPURS
2021-02-10 03:00:00+00:00,ORLANDO MAGIC,PORTLAND TRAIL BLAZERS
2021-02-10 03:00:00+00:00,PHILADELPHIA 76ERS,SACRAMENTO KINGS
2021-02-10 03:00:00+00:00,BOSTON CELTICS,UTAH JAZZ
2021-02-11 00:00:00+00:00,TORONTO RAPTORS,WASHINGTON WIZARDS
2021-02-11 00:30:00+00:00,INDIANA PACERS,BROOKLYN NETS
2021-02-11 00:30:00+00:00,ATLANTA HAWKS,DALLAS MAVERICKS
2021-02-11 01:00:00+00:00,NEW ORLEANS PELICANS,CHICAGO BULLS
2021-02-11 01:00:00+00:00,CHARLOTTE HORNETS,MEMPHIS GRIZZLIES
2021-02-11 01:00:00+00:00,LOS ANGELES CLIPPERS,MINNESOTA TIMBERWOLVES
2021-02-11 02:00:00+00:00,CLEVELAND CAVALIERS,DENVER NUGGETS
2021-02-11 03:00:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES LAKERS
2021-02-11 03:00:00+00:00,MILWAUKEE BUCKS,PHOENIX SUNS
2021-02-12 00:00:00+00:00,INDIANA PACERS,DETROIT PISTONS
2021-02-12 00:30:00+00:00,MIAMI HEAT,HOUSTON ROCKETS
2021-02-12 03:00:00+00:00,ORLANDO MAGIC,GOLDEN STATE WARRIORS
2021-02-12 03:00:00+00:00,PHILADELPHIA 76ERS,PORTLAND TRAIL BLAZERS
2021-02-13 00:00:00+00:00,MINNESOTA TIMBERWOLVES,CHARLOTTE HORNETS
2021-02-13 00:00:00+00:00,NEW YORK KNICKS,WASHINGTON WIZARDS
2021-02-13 00:30:00+00:00,SAN ANTONIO SPURS,ATLANTA HAWKS
2021-02-13 00:30:00+00:00,TORONTO RAPTORS,BOSTON CELTICS
2021-02-13 00:30:00+00:00,NEW ORLEANS PELICANS,DALLAS MAVERICKS
2021-02-13 01:00:00+00:00,LOS ANGELES CLIPPERS,CHICAGO BULLS
2021-02-13 02:00:00+00:00,OKLAHOMA CITY THUNDER,DENVER NUGGETS
2021-02-13 02:00:00+00:00,MILWAUKEE BUCKS,UTAH JAZZ
2021-02-13 03:00:00+00:00,MEMPHIS GRIZZLIES,LOS ANGELES LAKERS
2021-02-13 03:00:00+00:00,CLEVELAND CAVALIERS,PORTLAND TRAIL BLAZERS
2021-02-13 03:00:00+00:00,ORLANDO MAGIC,SACRAMENTO KINGS
2021-02-13 22:00:00+00:00,PHILADELPHIA 76ERS,PHOENIX SUNS
2021-02-14 00:30:00+00:00,INDIANA PACERS,ATLANTA HAWKS
2021-02-14 00:30:00+00:00,HOUSTON ROCKETS,NEW YORK KNICKS
2021-02-14 01:30:00+00:00,BROOKLYN NETS,GOLDEN STATE WARRIORS
2021-02-14 02:00:00+00:00,MIAMI HEAT,UTAH JAZZ
2021-02-14 20:30:00+00:00,PORTLAND TRAIL BLAZERS,DALLAS MAVERICKS
2021-02-14 23:00:00+00:00,DETROIT PISTONS,BOSTON CELTICS
2021-02-14 23:00:00+00:00,MINNESOTA TIMBERWOLVES,TORONTO RAPTORS
2021-02-15 00:00:00+00:00,SAN ANTONIO SPURS,CHARLOTTE HORNETS
2021-02-15 00:00:00+00:00,MILWAUKEE BUCKS,OKLAHOMA CITY THUNDER
2021-02-15 00:30:00+00:00,LOS ANGELES LAKERS,DENVER NUGGETS
2021-02-15 01:00:00+00:00,ORLANDO MAGIC,PHOENIX SUNS
2021-02-15 02:00:00+00:00,MEMPHIS GRIZZLIES,SACRAMENTO KINGS
2021-02-15 03:00:00+00:00,CLEVELAND CAVALIERS,LOS ANGELES CLIPPERS
2021-02-16 00:00:00+00:00,CHICAGO BULLS,INDIANA PACERS
2021-02-16 00:00:00+00:00,HOUSTON ROCKETS,WASHINGTON WIZARDS
2021-02-16 00:30:00+00:00,ATLANTA HAWKS,NEW YORK KNICKS
2021-02-16 02:00:00+00:00,PHILADELPHIA 76ERS,UTAH JAZZ
2021-02-16 03:00:00+00:00,CLEVELAND CAVALIERS,GOLDEN STATE WARRIORS
2021-02-16 03:00:00+00:00,MIAMI HEAT,LOS ANGELES CLIPPERS
2021-02-16 03:00:00+00:00,BROOKLYN NETS,SACRAMENTO KINGS
2021-02-17 00:00:00+00:00,DENVER NUGGETS,BOSTON CELTICS
2021-02-17 00:00:00+00:00,SAN ANTONIO SPURS,DETROIT PISTONS
2021-02-17 00:30:00+00:00,NEW ORLEANS PELICANS,MEMPHIS GRIZZLIES
2021-02-17 01:00:00+00:00,TORONTO RAPTORS,MILWAUKEE BUCKS
2021-02-17 01:00:00+00:00,LOS ANGELES LAKERS,MINNESOTA TIMBERWOLVES
2021-02-17 01:00:00+00:00,PORTLAND TRAIL BLAZERS,OKLAHOMA CITY THUNDER
2021-02-17 03:00:00+00:00,BROOKLYN NETS,PHOENIX SUNS
2021-02-18 00:00:00+00:00,CHICAGO BULLS,CHARLOTTE HORNETS
2021-02-18 00:00:00+00:00,SAN ANTONIO SPURS,CLEVELAND CAVALIERS
2021-02-18 00:00:00+00:00,NEW YORK KNICKS,ORLANDO MAGIC
2021-02-18 00:00:00+00:00,DENVER NUGGETS,WASHINGTON WIZARDS
2021-02-18 00:30:00+00:00,ATLANTA HAWKS,BOSTON CELTICS
2021-02-18 00:30:00+00:00,HOUSTON ROCKETS,PHILADELPHIA 76ERS
2021-02-18 01:00:00+00:00,INDIANA PACERS,MINNESOTA TIMBERWOLVES
2021-02-18 01:00:00+00:00,PORTLAND TRAIL BLAZERS,NEW ORLEANS PELICANS
2021-02-18 01:30:00+00:00,DETROIT PISTONS,DALLAS MAVERICKS
2021-02-18 03:00:00+00:00,MIAMI HEAT,GOLDEN STATE WARRIORS
2021-02-18 03:00:00+00:00,UTAH JAZZ,LOS ANGELES CLIPPERS
2021-02-19 00:30:00+00:00,TORONTO RAPTORS,MILWAUKEE BUCKS
2021-02-19 03:00:00+00:00,BROOKLYN NETS,LOS ANGELES LAKERS
2021-02-19 03:00:00+00:00,MIAMI HEAT,SACRAMENTO KINGS
2021-02-20 00:00:00+00:00,DENVER NUGGETS,CHARLOTTE HORNETS
2021-02-20 00:00:00+00:00,GOLDEN STATE WARRIORS,ORLANDO MAGIC
2021-02-20 00:00:00+00:00,CHICAGO BULLS,PHILADELPHIA 76ERS
2021-02-20 00:30:00+00:00,ATLANTA HAWKS,BOSTON CELTICS
2021-02-20 01:00:00+00:00,DETROIT PISTONS,MEMPHIS GRIZZLIES
2021-02-20 01:00:00+00:00,OKLAHOMA CITY THUNDER,MILWAUKEE BUCKS
2021-02-20 01:00:00+00:00,TORONTO RAPTORS,MINNESOTA TIMBERWOLVES
2021-02-20 01:00:00+00:00,PHOENIX SUNS,NEW ORLEANS PELICANS
2021-02-20 02:30:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS
2021-02-20 03:00:00+00:00,UTAH JAZZ,LOS ANGELES CLIPPERS
2021-02-20 22:00:00+00:00,SAN ANTONIO SPURS,NEW YORK KNICKS
2021-02-21 00:00:00+00:00,GOLDEN STATE WARRIORS,CHARLOTTE HORNETS
2021-02-21 01:00:00+00:00,SACRAMENTO KINGS,CHICAGO BULLS
2021-02-21 01:00:00+00:00,INDIANA PACERS,HOUSTON ROCKETS
2021-02-21 01:00:00+00:00,PHOENIX SUNS,MEMPHIS GRIZZLIES
2021-02-21 01:30:00+00:00,MIAMI HEAT,LOS ANGELES LAKERS
2021-02-21 03:00:00+00:00,WASHINGTON WIZARDS,PORTLAND TRAIL BLAZERS
2021-02-21 20:30:00+00:00,BOSTON CELTICS,NEW ORLEANS PELICANS
2021-02-21 23:00:00+00:00,OKLAHOMA CITY THUNDER,CLEVELAND CAVALIERS
2021-02-21 23:00:00+00:00,DETROIT PISTONS,ORLANDO MAGIC
2021-02-21 23:00:00+00:00,PHILADELPHIA 76ERS,TORONTO RAPTORS
2021-02-22 00:00:00+00:00,MINNESOTA TIMBERWOLVES,NEW YORK KNICKS
2021-02-22 00:30:00+00:00,DENVER NUGGETS,ATLANTA HAWKS
2021-02-22 01:00:00+00:00,BROOKLYN NETS,LOS ANGELES CLIPPERS
2021-02-22 01:00:00+00:00,SACRAMENTO KINGS,MILWAUKEE BUCKS
2021-02-23 00:00:00+00:00,SAN ANTONIO SPURS,INDIANA PACERS
2021-02-23 01:00:00+00:00,CHICAGO BULLS,HOUSTON ROCKETS
2021-02-23 01:00:00+00:00,MIAMI HEAT,OKLAHOMA CITY THUNDER
2021-02-23 01:30:00+00:00,MEMPHIS GRIZZLIES,DALLAS MAVERICKS
2021-02-23 02:00:00+00:00,PORTLAND TRAIL BLAZERS,PHOENIX SUNS
2021-02-23 02:00:00+00:00,CHARLOTTE HORNETS,UTAH JAZZ
2021-02-23 03:00:00+00:00,WASHINGTON WIZARDS,LOS ANGELES LAKERS
2021-02-24 00:00:00+00:00,ATLANTA HAWKS,CLEVELAND CAVALIERS
2021-02-24 00:00:00+00:00,DETROIT PISTONS,ORLANDO MAGIC
2021-02-24 00:30:00+00:00,SACRAMENTO KINGS,BROOKLYN NETS
2021-02-24 00:30:00+00:00,BOSTON CELTICS,DALLAS MAVERICKS
2021-02-24 00:30:00+00:00,GOLDEN STATE WARRIORS,NEW YORK KNICKS
2021-02-24 00:30:00+00:00,PHILADELPHIA 76ERS,TORONTO RAPTORS
2021-02-24 01:00:00+00:00,MINNESOTA TIMBERWOLVES,MILWAUKEE BUCKS
2021-02-24 03:00:00+00:00,PORTLAND TRAIL BLAZERS,DENVER NUGGETS
2021-02-24 03:00:00+00:00,WASHINGTON WIZARDS,LOS ANGELES CLIPPERS
2021-02-25 00:00:00+00:00,GOLDEN STATE WARRIORS,INDIANA PACERS
2021-02-25 00:30:00+00:00,BOSTON CELTICS,ATLANTA HAWKS
2021-02-25 00:30:00+00:00,HOUSTON ROCKETS,CLEVELAND CAVALIERS
2021-02-25 00:30:00+00:00,TORONTO RAPTORS,MIAMI HEAT
2021-02-25 01:00:00+00:00,MINNESOTA TIMBERWOLVES,CHICAGO BULLS
2021-02-25 01:00:00+00:00,DETROIT PISTONS,NEW ORLEANS PELICANS
2021-02-25 01:00:00+00:00,SAN ANTONIO SPURS,OKLAHOMA CITY THUNDER
2021-02-25 02:00:00+00:00,CHARLOTTE HORNETS,PHOENIX SUNS
2021-02-25 03:00:00+00:00,LOS ANGELES LAKERS,UTAH JAZZ
2021-02-26 00:00:00+00:00,DALLAS MAVERICKS,PHILADELPHIA 76ERS
2021-02-26 00:30:00+00:00,ORLANDO MAGIC,BROOKLYN NETS
2021-02-26 00:30:00+00:00,SACRAMENTO KINGS,NEW YORK KNICKS
2021-02-26 01:00:00+00:00,LOS ANGELES CLIPPERS,MEMPHIS GRIZZLIES
2021-02-26 02:00:00+00:00,WASHINGTON WIZARDS,DENVER NUGGETS
2021-02-26 02:30:00+00:00,NEW ORLEANS PELICANS,MILWAUKEE BUCKS
2021-02-27 00:00:00+00:00,SACRAMENTO KINGS,DETROIT PISTONS
2021-02-27 00:30:00+00:00,INDIANA PACERS,BOSTON CELTICS
2021-02-27 00:30:00+00:00,HOUSTON ROCKETS,TORONTO RAPTORS
2021-02-27 01:00:00+00:00,PHOENIX SUNS,CHICAGO BULLS
2021-02-27 01:00:00+00:00,LOS ANGELES CLIPPERS,MEMPHIS GRIZZLIES
2021-02-27 01:00:00+00:00,UTAH JAZZ,MIAMI HEAT
2021-02-27 01:00:00+00:00,ATLANTA HAWKS,OKLAHOMA CITY THUNDER
2021-02-27 03:00:00+00:00,CHARLOTTE HORNETS,GOLDEN STATE WARRIORS
2021-02-27 03:00:00+00:00,PORTLAND TRAIL BLAZERS,LOS ANGELES LAKERS
2021-02-27 20:00:00+00:00,CLEVELAND CAVALIERS,PHILADELPHIA 76ERS
2021-02-27 23:00:00+00:00,NEW ORLEANS PELICANS,SAN ANTONIO SPURS
2021-02-28 00:00:00+00:00,INDIANA PACERS,NEW YORK KNICKS
2021-02-28 00:00:00+00:00,UTAH JAZZ,ORLANDO MAGIC
2021-02-28 00:00:00+00:00,MINNESOTA TIMBERWOLVES,WASHINGTON WIZARDS
2021-02-28 01:00:00+00:00,DENVER NUGGETS,OKLAHOMA CITY THUNDER
2021-02-28 01:30:00+00:00,DALLAS MAVERICKS,BROOKLYN NETS
2021-02-28 20:30:00+00:00,LOS ANGELES CLIPPERS,MILWAUKEE BUCKS
2021-02-28 23:00:00+00:00,NEW YORK KNICKS,DETROIT PISTONS
2021-02-28 23:00:00+00:00,ATLANTA HAWKS,MIAMI HEAT
2021-02-28 23:00:00+00:00,CHICAGO BULLS,TORONTO RAPTORS
2021-03-01 00:00:00+00:00,WASHINGTON WIZARDS,BOSTON CELTICS
2021-03-01 00:00:00+00:00,MEMPHIS GRIZZLIES,HOUSTON ROCKETS
2021-03-01 01:00:00+00:00,GOLDEN STATE WARRIORS,LOS ANGELES LAKERS
2021-03-01 01:00:00+00:00,PHOENIX SUNS,MINNESOTA TIMBERWOLVES
2021-03-01 02:00:00+00:00,CHARLOTTE HORNETS,SACRAMENTO KINGS
2021-03-02 00:00:00+00:00,DALLAS MAVERICKS,ORLANDO MAGIC
2021-03-02 00:00:00+00:00,INDIANA PACERS,PHILADELPHIA 76ERS
2021-03-02 01:00:00+00:00,CLEVELAND CAVALIERS,HOUSTON ROCKETS
2021-03-02 01:00:00+00:00,UTAH JAZZ,NEW ORLEANS PELICANS
2021-03-02 01:00:00+00:00,DENVER NUGGETS,CHICAGO BULLS
2021-03-02 01:30:00+00:00,BROOKLYN NETS,SAN ANTONIO SPURS
2021-03-02 03:30:00+00:00,CHARLOTTE HORNETS,PORTLAND TRAIL BLAZERS
2021-03-03 00:00:00+00:00,MEMPHIS GRIZZLIES,WASHINGTON WIZARDS
2021-03-03 00:30:00+00:00,LOS ANGELES CLIPPERS,BOSTON CELTICS
2021-03-03 00:30:00+00:00,ATLANTA HAWKS,MIAMI HEAT
2021-03-03 00:30:00+00:00,DETROIT PISTONS,TORONTO RAPTORS
2021-03-03 01:00:00+00:00,DENVER NUGGETS,MILWAUKEE BUCKS
2021-03-03 01:30:00+00:00,NEW YORK KNICKS,SAN ANTONIO SPURS
2021-03-03 03:00:00+00:00,PHOENIX SUNS,LOS ANGELES LAKERS
2021-03-04 00:00:00+00:00,INDIANA PACERS,CLEVELAND CAVALIERS
2021-03-04 00:00:00+00:00,ATLANTA HAWKS,ORLANDO MAGIC
2021-03-04 00:00:00+00:00,UTAH JAZZ,PHILADELPHIA 76ERS
2021-03-04 00:30:00+00:00,BROOKLYN NETS,HOUSTON ROCKETS
2021-03-04 01:00:00+00:00,CHARLOTTE HORNETS,MINNESOTA TIMBERWOLVES
2021-03-04 01:00:00+00:00,CHICAGO BULLS,NEW ORLEANS PELICANS
2021-03-04 01:30:00+00:00,OKLAHOMA CITY THUNDER,DALLAS MAVERICKS
2021-03-04 03:00:00+00:00,GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS
2021-03-04 03:00:00+00:00,LOS ANGELES LAKERS,SACRAMENTO KINGS
2021-03-05 00:00:00+00:00,TORONTO RAPTORS,BOSTON CELTICS
2021-03-05 00:00:00+00:00,DENVER NUGGETS,INDIANA PACERS
2021-03-05 00:00:00+00:00,LOS ANGELES CLIPPERS,WASHINGTON WIZARDS
2021-03-05 01:00:00+00:00,MILWAUKEE BUCKS,MEMPHIS GRIZZLIES
2021-03-05 01:30:00+00:00,OKLAHOMA CITY THUNDER,SAN ANTONIO SPURS
2021-03-05 02:30:00+00:00,MIAMI HEAT,NEW ORLEANS PELICANS
2021-03-05 03:00:00+00:00,SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS
