start_time,away_team,home_team
2021-01-02 01:00:00+00:00,LOS ANGELES LAKERS,SAN ANTONIO SPURS
2021-01-02 02:00:00+00:00,PHOENIX SUNS,DENVER NUGGETS
2021-01-02 02:00:00+00:00,LOS ANGELES CLIPPERS,UTAH JAZZ
2021-01-02 03:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS
2021-01-02 22:00:00+00:00,SACRAMENTO KINGS,HOUSTON ROCKETS
2021-01-03 00:00:00+00:00,NEW YORK KNICKS,INDIANA PACERS
2021-01-03 00:00:00+00:00,OKLAHOMA CITY THUNDER,ORLANDO MAGIC
2021-01-03 00:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS
2021-01-03 00:30:00+00:00,CLEVELAND CAVALIERS,ATLANTA HAWKS
2021-01-03 00:30:00+00:00,TORONTO RAPTORS,NEW ORLEANS PELICANS
2021-01-03 20:00:00+00:00,BOSTON CELTICS,DETROIT PISTONS
2021-01-03 23:00:00+00:00,WASHINGTON WIZARDS,BROOKLYN NETS
2021-01-03 23:00:00+00:00,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES
2021-01-04 00:00:00+00:00,DENVER NUGGETS,MINNESOTA TIMBERWOLVES
2021-01-04 00:00:00+00:00,UTAH JAZZ,SAN ANTONIO SPURS
2021-01-04 01:00:00+00:00,DALLAS MAVERICKS,CHICAGO BULLS
2021-01-04 01:00:00+00:00,LOS ANGELES CLIPPERS,PHOENIX SUNS
2021-01-04 01:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS
2021-01-05 00:00:00+00:00,CLEVELAND CAVALIERS,ORLANDO MAGIC
2021-01-05 00:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS
2021-01-05 00:30:00+00:00,NEW YORK KNICKS,ATLANTA HAWKS
2021-01-05 00:30:00+00:00,OKLAHOMA CITY THUNDER,MIAMI HEAT
2021-01-05 00:30:00+00:00,BOSTON CELTICS,TORONTO RAPTORS
2021-01-05 01:00:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS
2021-01-05 01:00:00+00:00,DETROIT PISTONS,MILWAUKEE BUCKS
