slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,2324,8,20,1,2,4,5,2,2,7,1,1,2,2,15.6
redicjj01,J.J. Redick,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,WIN,1732,8,14,6,11,1,1,0,3,1,0,0,1,4,15.4
walkelo01,Lonnie Walker,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,2063,6,9,3,4,1,1,1,5,2,1,1,1,3,15.2
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1554,7,7,0,0,0,0,1,7,0,0,0,0,0,14.7
johnske04,Keldon Johnson,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1921,5,10,1,3,5,7,0,5,3,3,0,2,1,14.4
hieldbu01,Buddy Hield,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,2467,7,15,5,11,3,3,1,3,3,1,0,3,5,14.0
divindo01,Donte DiVincenzo,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,1633,6,11,3,4,0,0,2,3,3,2,0,1,3,13.9
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1847,6,16,4,10,4,4,0,3,5,1,0,2,2,13.8
rosede01,Derrick Rose,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1608,7,13,1,3,0,2,0,1,6,2,1,1,1,13.7
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,1773,6,11,1,1,2,6,3,10,2,1,1,1,4,13.7
bledser01,Eric Bledsoe,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,WIN,2067,6,12,4,8,2,4,0,2,6,1,1,4,1,13.3
mcgeeja01,JaVale McGee,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1152,6,7,0,1,1,1,1,6,1,1,1,1,3,13.2
johnsca02,Cameron Johnson,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1532,5,9,1,3,4,4,0,5,1,1,0,0,2,13.1
bertada01,Dāvis Bertāns,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1208,4,7,4,6,2,2,0,3,1,0,1,0,0,13.0
halibty01,Tyrese Haliburton,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,1800,3,7,2,5,4,4,1,1,4,0,1,0,0,12.8
willipa01,Patrick Williams,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1983,5,11,1,3,5,6,0,4,1,1,1,0,2,12.7
jacksjo02,Josh Jackson,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1731,8,14,3,7,0,0,0,6,2,1,0,2,5,12.6
porteot01,Otto Porter,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1402,5,10,0,2,4,4,3,2,1,2,0,1,2,12.6
bartowi01,Will Barton,DENVER NUGGETS,HOME,SACRAMENTO KINGS,LOSS,2007,7,16,1,3,1,2,0,2,4,2,1,0,2,12.5
josepco01,Cory Joseph,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,1762,6,10,2,5,1,2,0,3,4,1,2,2,4,12.5
millspa01,Paul Millsap,DENVER NUGGETS,HOME,SACRAMENTO KINGS,LOSS,2166,7,13,2,5,0,0,2,5,3,0,0,1,3,12.5
