slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
irvinky01,Kyrie Irving,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,2004,13,21,7,10,4,4,1,5,8,1,0,1,4,33.7
middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1547,10,15,6,8,5,5,0,4,5,2,0,2,2,28.4
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1817,10,16,3,5,5,7,1,7,5,2,0,2,2,25.5
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,2298,11,20,0,1,10,15,4,10,1,1,0,3,1,24.5
duranke01,Kevin Durant,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,2004,9,16,3,4,8,9,0,4,3,2,0,2,3,23.1
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,2309,7,13,1,4,9,11,3,6,10,1,0,5,2,23.0
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1821,8,14,2,4,3,3,2,3,7,4,1,2,4,22.7
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,2048,9,19,2,5,7,8,0,4,7,0,1,3,0,20.7
dragigo01,Goran Dragić,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1629,6,11,0,4,6,7,0,2,9,4,0,3,1,19.8
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2216,8,14,5,9,2,2,0,5,9,1,0,6,1,18.8
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1884,8,18,3,8,3,4,1,6,10,1,0,4,0,18.7
harremo01,Montrezl Harrell,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1706,10,13,0,1,2,5,5,2,2,1,0,2,4,18.6
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,2223,7,17,4,8,10,11,0,2,3,0,0,4,0,17.2
robindu01,Duncan Robinson,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1922,8,14,7,13,0,0,0,5,0,0,0,1,3,15.7
brownja02,Jaylen Brown,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1832,11,25,0,4,5,9,5,3,3,0,1,2,5,15.5
allenja01,Jarrett Allen,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1287,2,3,0,0,5,6,5,6,1,0,4,1,1,14.7
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2179,5,8,2,5,1,1,4,6,4,1,1,2,5,14.5
wisemja01,James Wiseman,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1503,5,11,3,4,5,6,3,5,0,0,3,2,4,14.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1693,5,9,0,0,7,8,0,4,2,2,1,3,2,13.8
richajo01,Josh Richardson,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1643,6,12,2,5,3,3,1,1,2,2,0,0,4,13.8
morrimo01,Monte Morris,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1821,3,7,1,3,6,7,1,0,4,1,0,0,0,13.4
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1738,6,17,2,10,5,5,0,4,6,1,0,2,2,13.1
murraja01,Jamal Murray,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,2236,9,20,4,11,1,2,2,3,3,1,0,3,4,13.0
morrima02,Markieff Morris,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,920,3,5,3,5,0,0,3,4,2,1,0,0,0,12.4
burketr01,Trey Burke,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1468,5,10,4,7,3,4,0,1,2,0,1,0,5,12.0
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1522,6,8,0,1,0,0,1,3,6,0,1,3,1,11.9
schrode01,Dennis Schröder,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1507,7,11,1,3,3,4,1,1,6,0,0,4,5,11.9
poweldw01,Dwight Powell,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1412,4,4,1,1,2,4,0,3,1,3,0,1,2,11.8
smartma01,Marcus Smart,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1913,4,12,3,7,2,2,2,1,6,2,1,1,5,11.8
kuzmaky01,Kyle Kuzma,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1314,5,11,3,4,0,0,2,4,2,0,1,0,1,11.6
portibo01,Bobby Portis,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1553,5,9,0,3,0,0,1,11,2,1,1,1,1,11.4
bartowi01,Will Barton,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1713,4,10,1,4,6,9,1,4,3,1,0,1,3,11.2
ibakase01,Serge Ibaka,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1289,6,9,2,2,1,1,0,2,2,0,1,1,4,11.2
bradlav01,Avery Bradley,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1707,4,7,2,5,2,3,0,2,4,2,0,2,2,10.9
augusdj01,D.J. Augustin,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,807,4,6,3,3,2,2,0,0,1,0,0,0,1,10.7
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,2167,9,22,2,6,0,0,1,7,2,1,1,3,1,10.7
divindo01,Donte DiVincenzo,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1199,5,8,3,5,0,0,1,3,0,2,0,2,1,10.6
hartjo01,Josh Hart,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,1720,5,10,2,6,0,0,2,7,0,1,0,0,3,10.3
adamsst01,Steven Adams,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,1942,3,3,0,0,0,0,4,5,1,2,1,2,2,10.0
merrisa01,Sam Merrill,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,457,2,3,2,2,0,0,2,1,4,1,0,1,0,9.2
wanambr01,Brad Wanamaker,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1142,4,7,1,2,2,2,0,1,2,1,0,0,3,9.2
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1602,4,14,0,3,7,15,4,9,4,0,0,2,2,9.1
portemi01,Michael Porter,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1400,4,9,2,6,0,0,0,3,2,2,0,0,2,8.8
klebima01,Maxi Kleber,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1185,1,2,1,2,2,2,1,4,0,2,0,0,0,7.9
achiupr01,Precious Achiuwa,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1168,5,7,0,0,1,2,1,2,2,0,1,1,6,7.7
wilsodj01,D.J. Wilson,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,836,3,4,3,3,0,0,0,4,0,0,1,1,2,7.5
johnsja01,James Johnson,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,712,1,1,0,0,2,3,0,1,4,1,0,0,0,7.4
leeda03,Damion Lee,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1134,2,4,2,4,3,3,0,2,1,0,0,1,0,7.3
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1145,2,2,0,0,8,11,0,0,0,0,1,2,4,7.3
willilo02,Lou Williams,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1418,3,7,2,4,0,0,0,4,3,1,0,1,1,7.2
harteis01,Isaiah Hartenstein,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,571,3,5,0,0,0,0,2,3,1,0,1,0,1,7.0
willigr01,Grant Williams,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1113,2,4,0,1,0,0,2,4,4,0,1,0,3,6.9
ojelese01,Semi Ojeleye,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,857,2,7,1,2,4,6,3,1,1,0,0,0,1,6.8
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1449,3,7,2,6,0,0,0,0,2,1,2,0,4,6.5
jordade01,DeAndre Jordan,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1154,2,2,0,0,0,2,2,5,2,0,2,1,2,6.5
butleji01,Jimmy Butler,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,973,2,7,0,1,0,0,3,3,5,1,0,1,0,6.4
carusal01,Alex Caruso,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,804,2,2,2,2,0,0,0,1,2,2,0,2,2,6.3
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1762,4,9,2,6,0,0,0,2,0,3,0,1,4,6.3
thomptr01,Tristan Thompson,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1285,3,8,0,0,2,2,5,3,0,0,1,1,5,5.7
beverpa01,Patrick Beverley,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1293,3,6,2,5,1,2,1,1,0,2,0,1,5,5.6
herroty01,Tyler Herro,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1940,3,10,2,4,3,3,0,2,3,1,0,3,1,5.5
hardati02,Tim Hardaway,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1683,4,12,1,5,1,2,1,3,2,0,0,0,1,5.4
kennalu01,Luke Kennard,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1193,2,6,2,4,2,2,0,6,2,0,0,2,1,5.4
forbebr01,Bryn Forbes,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,801,3,5,2,3,0,0,0,0,0,0,0,0,1,5.3
iguodan01,Andre Iguodala,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1573,2,5,2,5,0,0,0,7,3,1,0,2,3,5.3
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1183,3,6,0,1,2,2,2,2,0,0,1,2,1,5.3
pattepa01,Patrick Patterson,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,689,1,1,1,1,2,2,2,1,2,0,0,1,4,5.2
hortota01,Talen Horton-Tucker,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,411,1,2,1,1,2,2,1,0,2,0,1,1,2,5.0
leoname01,Meyers Leonard,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1188,3,5,3,5,0,0,0,2,1,0,0,1,5,5.0
poolejo01,Jordan Poole,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1142,4,11,1,6,2,2,0,1,0,0,0,0,1,4.8
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1752,2,6,0,2,2,2,0,4,2,2,1,2,3,4.7
shamela01,Landry Shamet,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1165,1,3,1,3,2,2,0,3,1,0,1,1,0,4.6
harrijo01,Joe Harris,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1572,3,6,2,4,1,2,0,1,0,0,0,0,4,4.3
marjabo01,Boban Marjanović,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,422,3,4,0,0,0,0,0,1,0,0,0,0,1,4.3
balllo01,Lonzo Ball,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,2006,2,8,2,8,0,0,0,2,6,2,1,3,4,4.1
millspa01,Paul Millsap,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1313,3,5,1,2,1,2,0,1,0,0,0,0,4,4.0
doziepj01,PJ Dozier,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1147,3,5,1,2,0,0,1,1,0,0,0,1,2,3.9
connapa01,Pat Connaughton,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1133,1,3,0,1,0,0,0,7,2,0,0,0,0,3.8
pritcpa01,Payton Pritchard,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1506,3,5,1,2,0,0,0,2,1,2,0,3,3,3.8
luwawti01,Timothé Luwawu-Cabarrot,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,150,1,1,0,0,2,2,0,0,0,0,0,0,0,3.7
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1494,6,18,0,4,0,0,3,3,0,1,0,1,3,3.6
pascher01,Eric Paschall,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1499,3,8,0,3,1,1,1,1,1,1,0,1,2,3.5
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,783,2,6,1,4,0,0,0,1,3,0,0,0,2,3.2
gasolma01,Marc Gasol,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1174,0,1,0,1,2,2,2,7,0,0,0,1,2,3.0
mckinal01,Alfonzo McKinnie,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,143,1,1,1,1,0,0,0,1,0,0,0,0,0,3.0
antetth01,Thanasis Antetokounmpo,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,586,2,2,0,0,0,0,0,0,1,0,0,1,1,2.7
johnsty01,Tyler Johnson,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,150,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
terryty01,Tyrell Terry,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,102,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
muldemy01,Mychal Mulder,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1054,1,4,1,4,0,0,0,3,0,0,1,0,0,2.2
leverca01,Caris LeVert,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1114,5,8,0,2,0,0,0,1,3,0,1,7,1,2.1
nworajo01,Jordan Nwora,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,586,2,6,1,3,2,2,0,1,0,0,0,1,2,2.1
theisda01,Daniel Theis,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1401,1,3,0,2,0,0,1,4,3,0,0,1,3,2.1
chrisma01,Marquese Chriss,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,857,1,4,0,2,2,4,0,5,1,0,2,2,1,2.0
princta02,Taurean Prince,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,726,1,5,1,2,2,2,0,0,0,0,1,0,2,1.8
iwundwe01,Wesley Iwundu,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,143,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
redicjj01,J.J. Redick,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,1464,1,7,1,5,5,5,0,2,0,1,0,1,6,1.7
toscaju01,Juan Toscano-Anderson,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,753,0,0,0,0,0,0,1,2,1,0,0,0,1,1.6
greenje02,Jeff Green,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,872,1,3,0,1,0,0,1,3,0,0,0,0,1,1.5
dudleja01,Jared Dudley,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,143,0,0,0,0,0,0,1,2,0,0,0,0,0,1.3
greenja02,Javonte Green,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,223,1,3,0,0,0,0,1,1,0,0,0,0,0,1.3
mannte01,Terance Mann,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,284,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
looneke01,Kevon Looney,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,661,1,3,0,1,0,0,1,2,0,0,0,0,1,1.2
matthwe02,Wesley Matthews,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,985,1,3,0,2,0,0,0,1,0,1,0,0,1,1.2
nesmiaa01,Aaron Nesmith,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,525,1,2,1,2,0,0,0,0,0,0,0,1,0,1.0
perryre01,Reggie Perry,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,150,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
brownbr01,Bruce Brown,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
coffeam01,Amir Coffey,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
greenjo02,Josh Green,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
kabenmf01,Mfiondu Kabengele,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
okpalkz01,KZ Okpala,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
oturuda01,Daniel Oturu,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
silvach01,Chris Silva,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
harklma01,Maurice Harkless,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,569,0,0,0,0,0,0,0,2,0,0,0,0,2,-0.2
hayesja02,Jaxson Hayes,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,195,0,1,0,0,0,0,1,0,1,0,0,1,0,-0.3
bolbo01,Bol Bol,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,329,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
cookqu01,Quinn Cook,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,143,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
edwarca01,Carsen Edwards,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,150,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
howarma02,Markus Howard,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,26,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
kurucro01,Rodions Kurucs,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,150,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
campafa01,Facundo Campazzo,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,191,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
caulewi01,Willie Cauley-Stein,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,845,0,3,0,0,0,0,0,2,0,2,1,1,3,-1.0
watertr01,Tremont Waters,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,150,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.0
bazemke01,Kent Bazemore,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,236,0,2,0,0,0,0,0,0,1,0,0,0,1,-1.1
bledser01,Eric Bledsoe,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,1990,2,10,1,6,0,0,0,2,6,1,0,5,2,-1.2
brunsja01,Jalen Brunson,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,832,2,5,0,1,0,0,0,2,1,0,0,3,2,-1.2
harriga01,Gary Harris,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1344,1,5,0,2,0,0,0,1,2,1,0,2,2,-1.2
craigto01,Torrey Craig,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,586,0,1,0,0,0,0,0,4,0,0,0,1,2,-1.3
mellini01,Nicolò Melli,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,562,0,2,0,1,1,2,0,0,0,0,0,0,2,-1.6
teaguje01,Jeff Teague,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1278,0,5,0,1,0,0,0,1,2,1,0,2,1,-3.2
oubreke01,Kelly Oubre,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1186,1,10,0,5,1,2,1,4,1,1,0,2,3,-3.6
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2596,12,21,6,13,14,16,1,3,17,1,0,5,1,42.4
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,2630,17,30,9,16,1,2,0,3,8,1,0,0,1,36.5
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2234,14,24,2,5,9,13,2,5,5,2,0,4,2,29.8
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,WIN,2123,10,24,1,7,15,17,2,1,9,0,0,2,1,28.0
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,2186,10,17,3,4,4,5,1,4,8,2,0,2,2,25.4
grantje01,Jerami Grant,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,2551,9,14,4,8,6,8,1,9,2,0,3,1,4,25.3
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,2639,9,14,3,3,0,0,2,3,12,2,1,2,3,25.0
bouchch01,Chris Boucher,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,1695,9,13,3,4,1,2,4,6,1,0,7,0,4,24.7
woodch01,Christian Wood,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2617,14,22,0,2,3,4,3,10,3,0,1,3,4,24.1
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,2127,10,20,5,12,2,3,0,3,9,1,0,1,1,23.4
paulch01,Chris Paul,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1967,8,19,2,6,4,5,1,4,12,2,1,0,4,22.9
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,1839,10,20,2,4,5,7,4,6,2,1,1,1,3,21.7
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,2714,15,23,2,3,0,1,0,2,3,3,0,4,5,21.2
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,2481,11,28,5,13,5,5,1,4,9,1,0,5,1,20.6
hillge01,George Hill,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE HORNETS,WIN,1443,8,9,4,4,1,2,1,3,3,1,0,1,2,20.4
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,2036,8,11,0,1,6,11,1,9,11,1,0,5,6,20.2
rosste01,Terrence Ross,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1686,9,14,3,6,4,4,0,2,1,2,0,2,0,20.1
moranja01,Ja Morant,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,LOSS,2011,10,21,2,7,6,8,1,2,7,0,1,2,4,19.8
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,PHOENIX SUNS,WIN,2094,7,14,3,7,7,8,1,3,7,1,2,5,2,19.7
drumman01,Andre Drummond,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,2620,7,21,0,2,9,14,2,14,5,4,3,4,2,19.5
wrighde01,Delon Wright,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,2532,5,9,2,3,7,9,3,3,4,0,1,1,0,19.4
randlju01,Julius Randle,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2075,11,15,2,2,1,2,3,4,3,1,0,4,4,19.3
griffbl01,Blake Griffin,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,2660,9,21,8,16,0,0,0,6,4,3,0,3,1,19.1
fultzma01,Markelle Fultz,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1865,7,13,0,2,7,8,2,2,7,1,0,2,3,19.0
millspa02,Patty Mills,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,1778,8,9,5,6,0,0,1,0,3,0,0,1,2,18.9
warretj01,T.J. Warren,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,1619,10,16,0,2,3,4,2,4,3,0,0,0,3,18.9
oladivi01,Victor Oladipo,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,1503,8,12,5,5,1,1,0,7,1,2,0,2,2,18.8
anderky01,Kyle Anderson,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,LOSS,2186,8,15,2,6,2,2,1,13,1,0,2,0,2,18.6
vucevni01,Nikola Vučević,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1865,8,20,2,7,4,4,3,14,3,2,0,3,1,18.2
curryse01,Seth Curry,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,1793,6,8,3,4,2,2,0,4,3,1,0,0,0,18.1
osmande01,Cedi Osman,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1556,7,12,4,7,4,6,0,4,0,1,0,0,1,17.4
goberru01,Rudy Gobert,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1743,7,10,0,0,4,6,7,9,2,0,1,4,4,17.1
bryanth01,Thomas Bryant,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1804,8,11,3,5,0,0,0,5,1,0,0,0,2,15.9
brogdma01,Malcolm Brogdon,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,1732,8,14,1,4,1,1,0,2,6,1,0,1,1,15.8
crowdja01,Jae Crowder,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1964,7,13,3,8,0,0,1,7,2,1,0,0,1,15.5
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE HORNETS,WIN,2062,8,20,1,6,7,10,2,5,9,0,1,5,4,15.3
clarkjo01,Jordan Clarkson,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1385,8,17,2,6,5,6,1,2,0,0,0,0,0,15.2
huertke01,Kevin Huerter,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,WIN,1596,8,12,4,5,1,1,0,2,4,1,0,3,5,15.2
